run_id,profile,model,case,scenario,attack_label,seed,temperature,t_a,t_b,horizon_s,stopped_reason,recovery_success,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,n_tool_calls,prompt_tokens,completion_tokens,wall_time_s,error
20260419T094931Z__minimax-m2__kundur_a1__s0,minimax-m2,MiniMax M2.7,kundur,kundur_a1,A1,0,0.0,2.0,4.0,15.0,horizon_reached,False,4.636,True,voltage,2.0001,0.559045662985556,0.4194302459396467,1474.9889543253369,1453.1587456117672,9,26772,1822,50.523764100002154,
20260419T095023Z__minimax-m2__kundur_a1__s1,minimax-m2,MiniMax M2.7,kundur,kundur_a1,A1,1,0.0,2.0,4.0,15.0,horizon_reached,False,8.202,True,voltage,2.0001,0.559045662985556,0.4194302459396467,1474.9889543253369,1453.1587456117672,10,26946,2533,70.50720770000044,
20260419T095135Z__minimax-m2__kundur_a1__s2,minimax-m2,MiniMax M2.7,kundur,kundur_a1,A1,2,0.0,2.0,4.0,15.0,horizon_reached,False,3.8930000000000002,True,voltage,2.0001,0.559045662985556,0.4194302459396467,1474.9889543253369,1453.1587456117672,10,27081,3086,81.9220447000007,
20260419T095257Z__minimax-m2__kundur_a2__s0,minimax-m2,MiniMax M2.7,kundur,kundur_a2,A2,0,0.0,2.0,4.0,15.0,horizon_reached,True,1.9970000000000003,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129164009199,0.5360146684650962,9,25223,4277,61.02048620000278,
20260419T095359Z__minimax-m2__kundur_a2__s1,minimax-m2,MiniMax M2.7,kundur,kundur_a2,A2,1,0.0,2.0,4.0,15.0,horizon_reached,True,7.988000000000001,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129164009199,0.5360146684650962,9,7993,2118,21.536380699999427,
20260419T095422Z__minimax-m2__kundur_a2__s2,minimax-m2,MiniMax M2.7,kundur,kundur_a2,A2,2,0.0,2.0,4.0,15.0,horizon_reached,True,8.505,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129164009199,0.5360146684650962,7,22901,1826,24.59906249999767,
20260419T095447Z__minimax-m2__ieee39_a1__s0,minimax-m2,MiniMax M2.7,ieee39,ieee39_a1,A1,0,0.0,2.0,4.0,15.0,no_tool_call+autorolled,True,0.0,False,,,0.00025230768133588377,0.9988675915659938,0.12839658792083153,1.0755385766189225,8,12927,1992,55.04948700000023,
20260419T095543Z__minimax-m2__ieee39_a1__s1,minimax-m2,MiniMax M2.7,ieee39,ieee39_a1,A1,1,0.0,2.0,4.0,15.0,no_tool_call+autorolled,True,0.0,False,,,0.00025230768133588377,0.9988675915659938,0.334269766862912,1.0755385766189225,7,10917,2409,67.53067659999942,
20260419T095651Z__minimax-m2__ieee39_a1__s2,minimax-m2,MiniMax M2.7,ieee39,ieee39_a1,A1,2,0.0,2.0,4.0,15.0,horizon_reached,True,0.0,False,,,0.0004529109923692154,0.9988675915659938,0.10507976371162431,1.0755385766189225,12,38683,2923,75.86675670000113,
20260419T095808Z__minimax-m2__ieee39_a2__s0,minimax-m2,MiniMax M2.7,ieee39,ieee39_a2,A2,0,0.0,2.0,4.0,15.0,no_tool_call+autorolled,True,2.665,False,,,0.0,1.0018570383987089,0.0,1.0459950475221669,13,21847,2559,70.84408880000046,
