run_id,profile,model,case,scenario,truth_label,predicted_label,correct,confidence,seed,temperature,t_a,t_b,stopped_reason,n_tool_calls,prompt_tokens,completion_tokens,wall_time_s,rationale,error
FAIL__minimax-m2__kundur_a1__s0,minimax-m2,,kundur,kundur_a1,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__kundur_a1__s1,minimax-m2,,kundur,kundur_a1,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__kundur_a1__s2,minimax-m2,,kundur,kundur_a1,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__kundur_a1_mild__s0,minimax-m2,,kundur,kundur_a1_mild,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__kundur_a1_mild__s1,minimax-m2,,kundur,kundur_a1_mild,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__kundur_a1_mild__s2,minimax-m2,,kundur,kundur_a1_mild,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__kundur_a2__s0,minimax-m2,,kundur,kundur_a2,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__kundur_a2__s1,minimax-m2,,kundur,kundur_a2,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__kundur_a2__s2,minimax-m2,,kundur,kundur_a2,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__ieee39_a1__s0,minimax-m2,,ieee39,ieee39_a1,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__ieee39_a1__s1,minimax-m2,,ieee39,ieee39_a1,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__ieee39_a1__s2,minimax-m2,,ieee39,ieee39_a1,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__ieee39_a2__s0,minimax-m2,,ieee39,ieee39_a2,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__ieee39_a2__s1,minimax-m2,,ieee39,ieee39_a2,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__minimax-m2__ieee39_a2__s2,minimax-m2,,ieee39,ieee39_a2,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'MINIMAX_API_KEY' or add 'api_key_default' to profile 'minimax-m2'.
FAIL__deepseek-chat__kundur_a1__s0,deepseek-chat,,kundur,kundur_a1,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__kundur_a1__s1,deepseek-chat,,kundur,kundur_a1,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__kundur_a1__s2,deepseek-chat,,kundur,kundur_a1,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__kundur_a1_mild__s0,deepseek-chat,,kundur,kundur_a1_mild,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__kundur_a1_mild__s1,deepseek-chat,,kundur,kundur_a1_mild,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__kundur_a1_mild__s2,deepseek-chat,,kundur,kundur_a1_mild,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__kundur_a2__s0,deepseek-chat,,kundur,kundur_a2,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__kundur_a2__s1,deepseek-chat,,kundur,kundur_a2,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__kundur_a2__s2,deepseek-chat,,kundur,kundur_a2,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__ieee39_a1__s0,deepseek-chat,,ieee39,ieee39_a1,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__ieee39_a1__s1,deepseek-chat,,ieee39,ieee39_a1,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__ieee39_a1__s2,deepseek-chat,,ieee39,ieee39_a1,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__ieee39_a2__s0,deepseek-chat,,ieee39,ieee39_a2,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__ieee39_a2__s1,deepseek-chat,,ieee39,ieee39_a2,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__deepseek-chat__ieee39_a2__s2,deepseek-chat,,ieee39,ieee39_a2,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DEEPSEEK_API_KEY' or add 'api_key_default' to profile 'deepseek-chat'.
FAIL__qwen3-plus__kundur_a1__s0,qwen3-plus,,kundur,kundur_a1,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__kundur_a1__s1,qwen3-plus,,kundur,kundur_a1,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__kundur_a1__s2,qwen3-plus,,kundur,kundur_a1,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__kundur_a1_mild__s0,qwen3-plus,,kundur,kundur_a1_mild,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__kundur_a1_mild__s1,qwen3-plus,,kundur,kundur_a1_mild,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__kundur_a1_mild__s2,qwen3-plus,,kundur,kundur_a1_mild,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__kundur_a2__s0,qwen3-plus,,kundur,kundur_a2,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__kundur_a2__s1,qwen3-plus,,kundur,kundur_a2,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__kundur_a2__s2,qwen3-plus,,kundur,kundur_a2,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__ieee39_a1__s0,qwen3-plus,,ieee39,ieee39_a1,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__ieee39_a1__s1,qwen3-plus,,ieee39,ieee39_a1,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__ieee39_a1__s2,qwen3-plus,,ieee39,ieee39_a1,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__ieee39_a2__s0,qwen3-plus,,ieee39,ieee39_a2,,,False,,0,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__ieee39_a2__s1,qwen3-plus,,ieee39,ieee39_a2,,,False,,1,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
FAIL__qwen3-plus__ieee39_a2__s2,qwen3-plus,,ieee39,ieee39_a2,,,False,,2,0.0,2.0,5.0,exception,0,0,0,0.0,,RuntimeError: API key missing. Export env var 'DASHSCOPE_API_KEY' or add 'api_key_default' to profile 'qwen3-plus'.
